code,category,name,seisiki_name,tosyo_category,start_day,start_FY,company_url,post_code,address,head_prefecture,category_with_code,stock_market
7512,総合小売・食料品小売,イオン北海道,イオン北海道（株）,小売業,1978年4月5日,1978年度,http://www.aeon-hokkaido.jp/,〒003-8630,札幌市白石区本通２１－南１－１０,北海道,6100_小売業,東証１部
7513,家電小売,コジマ,（株）コジマ,小売業,1963年8月22日,1963年度,http://www.kojima.net/,〒320-8528,栃木県宇都宮市星が丘２－１－８,栃木県,6100_小売業,東証１部
7514,専門店・ドラッグストア,ヒマラヤ,（株）ヒマラヤ,小売業,1991年8月20日,1991年度,http://www.himaraya.co.jp/,〒500-8630,岐阜市江添１－１－１,岐阜県,6100_小売業,東証１部
7515,総合小売・食料品小売,マルヨシセンター,（株）マルヨシセンター,小売業,1970年9月24日,1970年度,http://ww2.maruyoshi-center.co.jp/,〒769-0198,香川県高松市国分寺町国分３６７－１,香川県,6100_小売業,東証２部
7516,専門店・ドラッグストア,コーナン商事,コーナン商事（株）,小売業,1978年9月20日,1978年度,http://www.hc-kohnan.com/,〒532-0004,大阪市淀川区西宮原２－２－１７,大阪府,6100_小売業,東証１部
7518,システム・ソフトウエア,ネットワンシステムズ,ネットワンシステムズ（株）,情報・通信業,1988年2月1日,1987年度,http://www.netone.co.jp/,〒100-7024,東京都千代田区丸の内２－７－２ＪＰタワー,東京都,5250_情報・通信業,東証１部
7519,専門店・ドラッグストア,五洋インテックス,五洋インテックス（株）,卸売業,1979年3月30日,1978年度,http://www.goyointex.co.jp/,〒103-0027,東京都中央区日本橋３－７－１３日本橋お起奈ビル,東京都,6050_卸売業,東証JQスタンダード
7520,総合小売・食料品小売,エコス,（株）エコス,小売業,1984年9月6日,1984年度,http://www.eco-s.co.jp/,〒196-0022,東京都昭島市中神町１１６０－１,東京都,6100_小売業,東証１部
7521,製造用機械・電気機械,ムサシ,（株）ムサシ,卸売業,1946年12月5日,1946年度,https://www.musashinet.co.jp/,〒104-0061,東京都中央区銀座８－２０－３６,東京都,6050_卸売業,東証JQスタンダード
7522,飲食店,ワタミ,ワタミ（株）,小売業,1986年5月1日,1986年度,http://www.watami.co.jp/,〒144-0043,東京都大田区羽田１－１－３,東京都,6100_小売業,東証１部
