id,  name,  category,  url,  company,  kessan,  siiteanalitics
1301,  極洋,  0050_水産・農林業,  https://www.nikkei.com/nkd/company/?scode=1301,  https://www.nikkei.com/nkd/company/gaiyo/?scode=1301,  https://www.nikkei.com/nkd/company/kessan/?scode=1301,https://omotenashi.site/company/1301/
1332,  日本水産,  0050_水産・農林業,  https://www.nikkei.com/nkd/company/?scode=1332,  https://www.nikkei.com/nkd/company/gaiyo/?scode=1332,  https://www.nikkei.com/nkd/company/kessan/?scode=1332,https://omotenashi.site/company/1332/
1333,  マルハニチロ,  0050_水産・農林業,  https://www.nikkei.com/nkd/company/?scode=1333,  https://www.nikkei.com/nkd/company/gaiyo/?scode=1333,  https://www.nikkei.com/nkd/company/kessan/?scode=1333,https://omotenashi.site/company/1333/
1375,  雪国まいたけ,  0050_水産・農林業,  https://www.nikkei.com/nkd/company/?scode=1375,  https://www.nikkei.com/nkd/company/gaiyo/?scode=1375,  https://www.nikkei.com/nkd/company/kessan/?scode=1375,https://omotenashi.site/company/1375/
1376,  カネコ種苗,  0050_水産・農林業,  https://www.nikkei.com/nkd/company/?scode=1376,  https://www.nikkei.com/nkd/company/gaiyo/?scode=1376,  https://www.nikkei.com/nkd/company/kessan/?scode=1376,https://omotenashi.site/company/1376/
1377,  サカタのタネ,  0050_水産・農林業,  https://www.nikkei.com/nkd/company/?scode=1377,  https://www.nikkei.com/nkd/company/gaiyo/?scode=1377,  https://www.nikkei.com/nkd/company/kessan/?scode=1377,https://omotenashi.site/company/1377/
1379,  ホクト,  0050_水産・農林業,  https://www.nikkei.com/nkd/company/?scode=1379,  https://www.nikkei.com/nkd/company/gaiyo/?scode=1379,  https://www.nikkei.com/nkd/company/kessan/?scode=1379,https://omotenashi.site/company/1379/
1380,  秋川牧園,  0050_水産・農林業,  https://www.nikkei.com/nkd/company/?scode=1380,  https://www.nikkei.com/nkd/company/gaiyo/?scode=1380,  https://www.nikkei.com/nkd/company/kessan/?scode=1380,https://omotenashi.site/company/1380/
1381,  アクシーズ,  0050_水産・農林業,  https://www.nikkei.com/nkd/company/?scode=1381,  https://www.nikkei.com/nkd/company/gaiyo/?scode=1381,  https://www.nikkei.com/nkd/company/kessan/?scode=1381,https://omotenashi.site/company/1381/
1382,  ホーブ,  0050_水産・農林業,  https://www.nikkei.com/nkd/company/?scode=1382,  https://www.nikkei.com/nkd/company/gaiyo/?scode=1382,  https://www.nikkei.com/nkd/company/kessan/?scode=1382,https://omotenashi.site/company/1382/
1383,  ベルグアース,  0050_水産・農林業,  https://www.nikkei.com/nkd/company/?scode=1383,  https://www.nikkei.com/nkd/company/gaiyo/?scode=1383,  https://www.nikkei.com/nkd/company/kessan/?scode=1383,https://omotenashi.site/company/1383/
1384,  ホクリヨウ,  0050_水産・農林業,  https://www.nikkei.com/nkd/company/?scode=1384,  https://www.nikkei.com/nkd/company/gaiyo/?scode=1384,  https://www.nikkei.com/nkd/company/kessan/?scode=1384,https://omotenashi.site/company/1384/
1514,  住石ホールディングス,  1050_鉱業,  https://www.nikkei.com/nkd/company/?scode=1514,  https://www.nikkei.com/nkd/company/gaiyo/?scode=1514,  https://www.nikkei.com/nkd/company/kessan/?scode=1514,https://omotenashi.site/company/1514/
1515,  日鉄鉱業,  1050_鉱業,  https://www.nikkei.com/nkd/company/?scode=1515,  https://www.nikkei.com/nkd/company/gaiyo/?scode=1515,  https://www.nikkei.com/nkd/company/kessan/?scode=1515,https://omotenashi.site/company/1515/
1518,  三井松島ホールディングス,  1050_鉱業,  https://www.nikkei.com/nkd/company/?scode=1518,  https://www.nikkei.com/nkd/company/gaiyo/?scode=1518,  https://www.nikkei.com/nkd/company/kessan/?scode=1518,https://omotenashi.site/company/1518/
1605,  国際石油開発帝石,  1050_鉱業,  https://www.nikkei.com/nkd/company/?scode=1605,  https://www.nikkei.com/nkd/company/gaiyo/?scode=1605,  https://www.nikkei.com/nkd/company/kessan/?scode=1605,https://omotenashi.site/company/1605/
1662,  石油資源開発,  1050_鉱業,  https://www.nikkei.com/nkd/company/?scode=1662,  https://www.nikkei.com/nkd/company/gaiyo/?scode=1662,  https://www.nikkei.com/nkd/company/kessan/?scode=1662,https://omotenashi.site/company/1662/
1663,  Ｋ＆Ｏエナジーグループ,  1050_鉱業,  https://www.nikkei.com/nkd/company/?scode=1663,  https://www.nikkei.com/nkd/company/gaiyo/?scode=1663,  https://www.nikkei.com/nkd/company/kessan/?scode=1663,https://omotenashi.site/company/1663/
1400,  ルーデン・ホールディングス,  2050_建設業,  https://www.nikkei.com/nkd/company/?scode=1400,  https://www.nikkei.com/nkd/company/gaiyo/?scode=1400,  https://www.nikkei.com/nkd/company/kessan/?scode=1400,https://omotenashi.site/company/1400/
1401,  エムビーエス,  2050_建設業,  https://www.nikkei.com/nkd/company/?scode=1401,  https://www.nikkei.com/nkd/company/gaiyo/?scode=1401,  https://www.nikkei.com/nkd/company/kessan/?scode=1401,https://omotenashi.site/company/1401/
1407,  ウエストホールディングス,  2050_建設業,  https://www.nikkei.com/nkd/company/?scode=1407,  https://www.nikkei.com/nkd/company/gaiyo/?scode=1407,  https://www.nikkei.com/nkd/company/kessan/?scode=1407,https://omotenashi.site/company/1407/
1413,  ヒノキヤグループ,  2050_建設業,  https://www.nikkei.com/nkd/company/?scode=1413,  https://www.nikkei.com/nkd/company/gaiyo/?scode=1413,  https://www.nikkei.com/nkd/company/kessan/?scode=1413,https://omotenashi.site/company/1413/
